"Manage Customer Segments","Manage Customer Segments"
"Create Segment","Create Segment"
"Index Segments","Index Segments"
"ID","ID"
"Title","Title"
"Status","Status"
"Enabled","Enabled"
"Disabled","Disabled"
"Save Segment","Save Segment"
"Delete Segment","Delete Segment"
"Save And Continue","Save And Continue"
"Apply","Apply"
"Edit Segment '%s'","Edit Segment '%s'"
"Add Segment","Add Segment"
"Segment Information","Segment Information"
"General","General"
"Conditions","Conditions"
"Segment Customers","Segment Customers"
"Conditions (leave blank to show on all pages)","Conditions (leave blank to show on all pages)"
"General Information","General Information"
"Store View","Store View"
"exists","exists"
"does not exist","does not exist"
"Newsletter Subscribers","Newsletter Subscribers"
"Conditions Combination","Conditions Combination"
"Order Product Attribute","Order Product Attribute"
"Address","Address"
"Customer","Customer"
"Yes","Yes"
"No","No"
"Templates Master","Templates Master"
"Segmentation Suite","Segmentation Suite"
"Customer Segments","Customer Segments"
"This segment no longer exists","This segment no longer exists"
"Edit Segment","Edit Segment"
"New Segment","New Segment"
"Segment was successfully saved","Segment was successfully saved"
"Segment was successfully deleted","Segment was successfully deleted"
"Unable to find a segment to delete","Unable to find a segment to delete"
"Templates-master","Templates-master"